"comid","variable","n_years","value_mean","ols_slope","ols_pvalue","mk_tau","mk_pvalue","sen_slope","sen_slope_rel","trend_direction"
620831475,"pop_density",9,0.702587890994401,0.0116297652338684,7.16682340008579e-06,1,0.000263260802703515,0.0593441003029264,8.44650200545505,"aumento"
620831475,"population",9,3.0164783000946,0.0499310262997944,7.16682340008592e-06,1,0.000263260802703515,0.254786900111607,8.44650200545504,"aumento"
620831481,"pop_density",9,0,0,NA,NA,NA,0,NA,"sin tendencia"
620831481,"population",9,0,0,NA,NA,NA,0,NA,"sin tendencia"
620831504,"pop_density",9,0,0,NA,NA,NA,0,NA,"sin tendencia"
620831504,"population",9,0,0,NA,NA,NA,0,NA,"sin tendencia"
620832832,"pop_density",9,29.7305822669352,0.370214893015075,1.78954135090655e-09,1,0.000263260802703515,1.90122942479199,6.39486104820235,"aumento"
620832832,"population",9,430.084737141927,5.35555521647136,1.78954135090692e-09,1,0.000263260802703515,27.5033213297527,6.39486104820238,"aumento"
620832858,"pop_density",9,0,0,NA,NA,NA,0,NA,"sin tendencia"
620832858,"population",9,0,0,NA,NA,NA,0,NA,"sin tendencia"
620834208,"pop_density",9,4.78296441864804,0.059389682096457,1.07383772509738e-09,1,0.000263260802703515,0.298593987089749,6.24286448641719,"aumento"
620834208,"population",9,49.0973642137316,0.609637997945151,1.07383772509698e-09,1,0.000263260802703515,3.06508191426596,6.24286448641721,"aumento"
620834240,"pop_density",9,0,0,NA,NA,NA,0,NA,"sin tendencia"
620834240,"population",9,0,0,NA,NA,NA,0,NA,"sin tendencia"
620835585,"pop_density",9,324.624255267948,3.55129019542632,3.71745294267454e-09,1,0.000263260802703515,17.5714353626735,5.41285349986244,"aumento"
620835585,"population",9,1564.11641438802,17.110955810547,3.71745294267758e-09,1,0.000263260802703515,84.663330078125,5.41285349986244,"aumento"
620835598,"pop_density",9,0,0,NA,NA,NA,0,NA,"sin tendencia"
620835598,"population",9,0,0,NA,NA,NA,0,NA,"sin tendencia"
620835612,"pop_density",9,0,0,NA,NA,NA,0,NA,"sin tendencia"
620835612,"population",9,0,0,NA,NA,NA,0,NA,"sin tendencia"
620835616,"pop_density",9,0,0,NA,NA,NA,0,NA,"sin tendencia"
620835616,"population",9,0,0,NA,NA,NA,0,NA,"sin tendencia"
620835617,"pop_density",9,0,0,NA,NA,NA,0,NA,"sin tendencia"
620835617,"population",9,0,0,NA,NA,NA,0,NA,"sin tendencia"
620836941,"pop_density",9,633.7338358993,13.011244760071,7.66653496617343e-07,1,0.000263260802703515,63.9982888423906,10.0986068941031,"aumento"
620836941,"population",9,108.387479146322,2.22531280517579,7.66653496617338e-07,1,0.000263260802703515,10.945625441415,10.0986068941031,"aumento"
620836969,"pop_density",9,0,0,NA,NA,NA,0,NA,"sin tendencia"
620836969,"population",9,0,0,NA,NA,NA,0,NA,"sin tendencia"
620836973,"pop_density",9,0,0,NA,NA,NA,0,NA,"sin tendencia"
620836973,"population",9,0,0,NA,NA,NA,0,NA,"sin tendencia"
620836992,"pop_density",9,0,0,NA,NA,NA,0,NA,"sin tendencia"
620836992,"population",9,0,0,NA,NA,NA,0,NA,"sin tendencia"
620836993,"pop_density",9,4.68067701678486,0.101516465100151,1.22500400392242e-08,1,0.000263260802703515,0.504840138403725,10.7856221780177,"aumento"
620836993,"population",9,62.5139185587565,1.3558278020223,1.22500400392241e-08,1,0.000263260802703515,6.74251506442115,10.7856221780177,"aumento"
620838305,"pop_density",9,478.503579358629,10.3784762233684,1.8639310493991e-08,1,0.000263260802703515,51.6868386190666,10.8017663500754,"aumento"
620838305,"population",9,50.913523779975,1.10428598403931,1.86393104939895e-08,1,0.000263260802703515,5.49955987930297,10.8017663500754,"aumento"
620838308,"pop_density",9,18.5329444958468,0.268631507629819,3.18981859012447e-10,1,0.000263260802703515,1.35248946970702,7.29775816255268,"aumento"
620838308,"population",9,602.02138264974,8.7261855061849,3.18981859012406e-10,1,0.000263260802703515,43.9340645926341,7.29775816255271,"aumento"
620838349,"pop_density",9,0,0,NA,NA,NA,0,NA,"sin tendencia"
620838349,"population",9,0,0,NA,NA,NA,0,NA,"sin tendencia"
620838354,"pop_density",9,1.36418957869654,0.0348733354986271,2.00678084166109e-07,1,0.000263260802703515,0.171516659275816,12.5727876795318,"aumento"
620838354,"population",9,0.416249250372251,0.0106407496333122,2.0067808416612e-07,1,0.000263260802703515,0.0523341344669461,12.5727876795319,"aumento"
620839684,"pop_density",9,87.3266597481207,1.30418451697364,3.87727912302088e-10,1,0.000263260802703515,6.38266598776456,7.30895468368342,"aumento"
